date,time,code,open,high,low,close,volume,amount,adjustflag
2025-01-23,20250123111000000,sh.600000,10.2900,10.2900,10.2700,10.2800,569000,5848832.0000,3
2025-01-23,20250123111500000,sh.600000,10.2900,10.2900,10.2200,10.2300,1226700,12569728.0000,3
2025-01-23,20250123112000000,sh.600000,10.2300,10.2300,10.2000,10.2200,1142900,11676352.0000,3
2025-01-23,20250123112500000,sh.600000,10.2200,10.2400,10.2100,10.2200,681200,6965248.0000,3
2025-01-23,20250123113000000,sh.600000,10.2200,10.2700,10.2100,10.2700,789600,8088960.0000,3
2025-01-23,20250123130500000,sh.600000,10.2700,10.3400,10.2600,10.3300,1878700,19362016.0000,3
2025-01-23,20250123131000000,sh.600000,10.3300,10.3400,10.3100,10.3300,1033500,10670656.0000,3
2025-01-23,20250123131500000,sh.600000,10.3300,10.3400,10.3100,10.3400,1043800,10781248.0000,3
2025-01-23,20250123132000000,sh.600000,10.3400,10.3700,10.3300,10.3600,1357700,14056704.0000,3
2025-01-23,20250123132500000,sh.600000,10.3500,10.3600,10.3300,10.3400,807400,8353504.0000,3
2025-01-23,20250123133000000,sh.600000,10.3400,10.3400,10.2800,10.2900,965900,9957792.0000,3
2025-01-23,20250123133500000,sh.600000,10.2900,10.3100,10.2800,10.3100,771800,7943808.0000,3
2025-01-23,20250123134000000,sh.600000,10.3100,10.3100,10.2900,10.3000,605400,6236192.0000,3
2025-01-23,20250123134500000,sh.600000,10.3000,10.3200,10.2900,10.3000,761300,7844736.0000,3
2025-01-23,20250123135000000,sh.600000,10.3000,10.3200,10.3000,10.3200,655300,6756835.0000,3
2025-01-23,20250123135500000,sh.600000,10.3200,10.3400,10.3100,10.3200,1099400,11350653.0000,3
2025-01-23,20250123140000000,sh.600000,10.3200,10.3300,10.3000,10.3000,722700,7448902.0000,3
2025-01-23,20250123140500000,sh.600000,10.2900,10.3200,10.2900,10.2900,1070700,11031360.0000,3
2025-01-23,20250123141000000,sh.600000,10.2900,10.3100,10.2900,10.3100,770400,7937589.0000,3
2025-01-23,20250123141500000,sh.600000,10.3000,10.3200,10.2900,10.3000,672800,6931645.0000,3
2025-01-23,20250123142000000,sh.600000,10.2900,10.3000,10.2800,10.2900,697900,7180608.0000,3
2025-01-23,20250123142500000,sh.600000,10.2800,10.3000,10.2800,10.2900,877000,9025856.0000,3
2025-01-23,20250123143000000,sh.600000,10.2900,10.3000,10.2800,10.2900,653300,6723336.0000,3
2025-01-23,20250123143500000,sh.600000,10.2900,10.3200,10.2900,10.3100,1361100,14024894.0000,3
2025-01-23,20250123144000000,sh.600000,10.3200,10.3200,10.3000,10.3000,918600,9472454.0000,3
2025-01-23,20250123144500000,sh.600000,10.3000,10.3100,10.2900,10.3100,1063200,10952890.0000,3
2025-01-23,20250123145000000,sh.600000,10.3100,10.3100,10.2900,10.3000,942300,9705726.0000,3
2025-01-23,20250123145500000,sh.600000,10.3000,10.3100,10.2800,10.3100,1192400,12281342.0000,3
2025-01-23,20250123150000000,sh.600000,10.3100,10.3100,10.2900,10.3100,1004100,10347266.0000,3
2025-01-24,20250124093500000,sh.600000,10.2600,10.3400,10.1800,10.2100,4250300,43452464.0000,3
2025-01-24,20250124094000000,sh.600000,10.2100,10.2900,10.2100,10.2700,2822000,28947760.0000,3
2025-01-24,20250124094500000,sh.600000,10.2700,10.3100,10.2600,10.2900,1912800,19673416.0000,3
2025-01-24,20250124095000000,sh.600000,10.2900,10.3000,10.2600,10.2900,1961400,20152104.0000,3
2025-01-24,20250124095500000,sh.600000,10.2900,10.3000,10.2600,10.2700,928900,9548528.0000,3
2025-01-24,20250124100000000,sh.600000,10.2600,10.3400,10.2600,10.3200,905200,9332008.0000,3
2025-01-24,20250124100500000,sh.600000,10.3400,10.3500,10.3100,10.3300,1303700,13467528.0000,3
2025-01-24,20250124101000000,sh.600000,10.3300,10.3300,10.3000,10.3200,1920900,19821280.0000,3
2025-01-24,20250124101500000,sh.600000,10.3100,10.3600,10.3100,10.3600,3476700,35977280.0000,3
2025-01-24,20250124102000000,sh.600000,10.3600,10.4400,10.3600,10.4100,3750300,39043664.0000,3
2025-01-24,20250124102500000,sh.600000,10.4100,10.4300,10.3900,10.4100,2910400,30325072.0000,3
2025-01-24,20250124103000000,sh.600000,10.4100,10.4100,10.3500,10.3500,1263400,13117984.0000,3
2025-01-24,20250124103500000,sh.600000,10.3600,10.3600,10.3300,10.3600,1042200,10779488.0000,3
2025-01-24,20250124104000000,sh.600000,10.3500,10.3600,10.3200,10.3500,875600,9054336.0000,3
2025-01-24,20250124104500000,sh.600000,10.3500,10.3500,10.3000,10.3200,603800,6230208.0000,3
2025-01-24,20250124105000000,sh.600000,10.3200,10.3500,10.3100,10.3500,1291200,13343392.0000,3
2025-01-24,20250124105500000,sh.600000,10.3500,10.3900,10.3400,10.3800,1970200,20424480.0000,3
2025-01-24,20250124110000000,sh.600000,10.3800,10.3900,10.3500,10.3900,619000,6420032.0000,3
2025-01-24,20250124110500000,sh.600000,10.3900,10.4100,10.3700,10.3800,2328700,24221760.0000,3
2025-01-24,20250124111000000,sh.600000,10.3800,10.4200,10.3800,10.4100,2414800,25130144.0000,3
2025-01-24,20250124111500000,sh.600000,10.4100,10.4200,10.3700,10.3900,1051400,10927744.0000,3
2025-01-24,20250124112000000,sh.600000,10.3900,10.4200,10.3800,10.4200,1612400,16776832.0000,3
2025-01-24,20250124112500000,sh.600000,10.4100,10.4400,10.4100,10.4400,1191500,12426016.0000,3
2025-01-24,20250124113000000,sh.600000,10.4400,10.4800,10.4300,10.4600,2886800,30197856.0000,3
2025-01-24,20250124130500000,sh.600000,10.4500,10.4700,10.4300,10.4700,1475700,15412768.0000,3
2025-01-24,20250124131000000,sh.600000,10.4700,10.4900,10.4600,10.4600,1357200,14214240.0000,3
2025-01-24,20250124131500000,sh.600000,10.4700,10.4900,10.4600,10.4900,1118600,11725696.0000,3
2025-01-24,20250124132000000,sh.600000,10.4900,10.4900,10.4600,10.4600,950600,9957184.0000,3
2025-01-24,20250124132500000,sh.600000,10.4600,10.4900,10.4600,10.4600,982400,10289088.0000,3
2025-01-24,20250124133000000,sh.600000,10.4600,10.4700,10.4400,10.4600,758700,7935234.0000,3
2025-01-24,20250124133500000,sh.600000,10.4600,10.4800,10.4400,10.4800,973500,10185088.0000,3
2025-01-24,20250124134000000,sh.600000,10.4700,10.4800,10.4600,10.4800,801800,8398520.0000,3
2025-01-24,20250124134500000,sh.600000,10.4800,10.4800,10.4600,10.4700,698000,7307840.0000,3
2025-01-24,20250124135000000,sh.600000,10.4700,10.4900,10.4600,10.4900,1008400,10563654.0000,3
2025-01-24,20250124135500000,sh.600000,10.4800,10.4900,10.4700,10.4800,808700,8473984.0000,3
2025-01-24,20250124140000000,sh.600000,10.4800,10.4900,10.4700,10.4800,1071900,11239544.0000,3
2025-01-24,20250124140500000,sh.600000,10.4800,10.4900,10.4700,10.4900,1091300,11440586.0000,3
2025-01-24,20250124141000000,sh.600000,10.4900,10.4900,10.4700,10.4800,581700,6094774.0000,3
2025-01-24,20250124141500000,sh.600000,10.4800,10.4800,10.4400,10.4400,1332400,13943810.0000,3
2025-01-24,20250124142000000,sh.600000,10.4400,10.4500,10.4300,10.4400,411100,4291264.0000,3
2025-01-24,20250124142500000,sh.600000,10.4400,10.4500,10.4100,10.4400,1002500,10453255.0000,3
2025-01-24,20250124143000000,sh.600000,10.4400,10.4500,10.4300,10.4500,671400,7009591.0000,3
2025-01-24,20250124143500000,sh.600000,10.4500,10.4500,10.4300,10.4300,842600,8794376.0000,3
2025-01-24,20250124144000000,sh.600000,10.4400,10.4400,10.4000,10.4000,964000,10037375.0000,3
2025-01-24,20250124144500000,sh.600000,10.4200,10.4300,10.4000,10.4100,1140900,11880705.0000,3
2025-01-24,20250124145000000,sh.600000,10.4100,10.4300,10.3900,10.4300,1802400,18764482.0000,3
2025-01-24,20250124145500000,sh.600000,10.4400,10.4400,10.4000,10.4000,1282500,13354501.0000,3
2025-01-24,20250124150000000,sh.600000,10.4100,10.4100,10.3900,10.3900,4211600,43764849.0000,3
2025-01-27,20250127093500000,sh.600000,10.4200,10.6100,10.4200,10.6000,4518800,47597640.0000,3
2025-01-27,20250127094000000,sh.600000,10.5900,10.6100,10.5200,10.5600,2965800,31364568.0000,3
2025-01-27,20250127094500000,sh.600000,10.5600,10.6100,10.5600,10.6000,1982600,20999936.0000,3
2025-01-27,20250127095000000,sh.600000,10.6000,10.6100,10.5600,10.5800,830700,8793488.0000,3
2025-01-27,20250127095500000,sh.600000,10.5900,10.6000,10.5800,10.5900,1702800,18033496.0000,3
2025-01-27,20250127100000000,sh.600000,10.5900,10.6000,10.5700,10.5800,1395000,14769032.0000,3
2025-01-27,20250127100500000,sh.600000,10.5800,10.6100,10.5800,10.6100,1892100,20058272.0000,3
2025-01-27,20250127101000000,sh.600000,10.6100,10.6500,10.6000,10.6500,2822600,29977792.0000,3
2025-01-27,20250127101500000,sh.600000,10.6500,10.6500,10.6300,10.6400,698400,7429488.0000,3
